published_at,source,source_type,market,title,summary,url
2026-07-17,Vattenfall,portfolio,Europe,Vattenfall reports strong first-half 2026 results and continued energy-system investment,"The company linked its performance to Nordic electricity prices, higher hydro and wind generation, and continued development of the future energy system.",https://group.vattenfall.com/press-and-media/pressreleases/2026/strong-results-and-continued-development-of-the-energy-system-for-the-future/
2026-07-02,Vattenfall,portfolio,Germany,Vattenfall starts offshore construction of the Nordlicht I wind project,"Offshore construction began for a major German North Sea project, signalling execution progress in Vattenfall's offshore wind pipeline.",https://group.vattenfall.com/press-and-media/newsroom/2026/vattenfall-starts-offshore-construction-of-germanys-largest-offshore-wind-project/
2026-07-17,RWE,competitor,Denmark,Half of the turbines installed at the Thor offshore wind farm,"RWE reported that 36 of 72 turbines had been installed, with full commissioning expected in 2027.",https://www.rwe.com/en/press/rwe-offshore-wind-gmbh/2026-07-17-half-of-wind-turbines-now-installed-at-thor/
2026-06-11,RWE,competitor,Germany,First turbine installed at the Nordseecluster A offshore wind farm,The milestone advances construction of a 1.6 GW German North Sea project and provides a useful benchmark for offshore execution timelines.,https://www.rwe.com/en/press/rwe-offshore-wind-gmbh/2026-06-11-first-turbine-up-at-nordseecluster-a-offshore-wind-farm-in-german-north-sea/
2026-05-14,RWE,competitor,United Kingdom,Dogger Bank South offshore wind projects receive planning permission,RWE and Masdar received planning approval for two large UK offshore wind projects after securing Contracts for Difference.,https://uk.rwe.com/press-and-news/2026-05-14-rwe-and-masdar-receive-planning-permission-for-dogger-bank-south-offshore-wind-farm/
2026-04-09,RWE,competitor,Denmark,Thor installs turbine using lower-carbon steel and recyclable rotor blades,The installation demonstrates supplier and technology choices intended to reduce lifecycle impact in offshore wind construction.,https://www.rwe.com/presse/rwe-offshore-wind-gmbh/2026-04-09-die-weltweit-erste-windkraftanlage-mit-einem-turm-aus-kohlenstoffaermeren-stahl-wurde-installiert/
2026-05-20,Ørsted,competitor,Poland,Ørsted and PGE begin offshore installation for Baltica 2,The start of offshore installation marks a major execution step for Poland's offshore wind market and regional supply chain.,https://orsted.com/en/media/news/2026/05/orsted-and-pge-kick-off-offshore-installation-of-b-14922371
2026-04-15,Ørsted,competitor,Europe,Ørsted completes divestment of its European onshore business,The transaction sharpens Ørsted's strategic focus on offshore wind and changes the competitive landscape for European onshore assets.,https://orsted.com/en/media/news/2026/04/orsted-completes-divestment-of-its-european-onshor-1490756111
2026-01-26,Ørsted,competitor,North Sea,North Sea countries and industry sign a joint offshore wind investment pact,"The agreement seeks coordinated offshore wind expansion, stronger investment conditions, and more secure European electricity supply.",https://orsted.com/en/media/news/2026/01/offshore-wind-pact-is-a-giant-leap-towards-powerin-14766123
2026-03-10,Vestas,supplier,United Kingdom,Vestas receives another 1.38 GW offshore wind order in the UK,The order covers 92 large offshore turbines and indicates continued supplier concentration and demand for 15 MW-class technology.,https://www.vestas.com/en/media/company-news/2026/vestas-builds-offshore-momentum-in-europe-with-another--c4318975
2026-04-29,Vestas,supplier,Germany,Vestas announces a 50 MW wind turbine order in Germany,"The order adds evidence on German onshore activity, turbine selection, service agreements, and expected commissioning schedules.",https://www.vestas.com/en/media/company-news/2026/vestas-announces-50-mw-order-in-germany-c4341936
2026-05-08,Vestas,supplier,Germany,Vestas announces 117 MW of new orders in Germany,Multiple German projects expand the supplier's order intake and offer market signals on deployment timing and long-term service demand.,https://www.vestas.com/en/media/company-news/2026/vestas-announces-117-mw-of-orders-in-germany-c4344625
2026-06-29,ENTSO-E,system_operator,Europe,ENTSO-E reports progress in European electricity market integration,"New market reports highlight cross-border integration, competition, and the continuing evolution of Europe's electricity market.",https://www.entsoe.eu/news-events/news/
2026-07-06,ENTSO-E,system_operator,Europe,ENTSO-E publishes recommendations to improve European grid stability,"The recommendations signal system-level priorities that can influence renewable integration, project economics, and market design.",https://www.entsoe.eu/
2026-06-11,ENTSO-E and ENTSOG,system_operator,Europe,Draft TYNDP 2026 scenarios released for consultation,The joint electricity and gas scenarios provide inputs for long-term infrastructure planning and energy-system pathway analysis.,https://www.entsoe.eu/
2026-06-30,European Commission DG Energy,regulator,European Union,Renewables reach 45.5% of EU electricity generation in the first quarter of 2026,"The reported increase provides a strategic signal on renewable penetration, market cannibalisation risk, and flexibility requirements.",https://energy.ec.europa.eu/news_en
2026-07-13,European Commission DG Energy,regulator,European Union,Energy Union Task Force discusses geopolitical impacts on EU energy markets,The discussion highlights energy-security and market-volatility risks relevant to long-term renewable investment assumptions.,https://energy.ec.europa.eu/news_en
2026-06-29,European Commission DG Energy,regulator,European Union,Call advances cross-border renewable energy project status,"The call may affect project pipelines, funding access, and collaboration opportunities for cross-border renewable developments.",https://energy.ec.europa.eu/news_en
2026-06-15,Bundesnetzagentur,regulator,Germany,Consultation begins on Germany's gas and hydrogen network development plan,"The consultation can shape infrastructure assumptions, hydrogen-market development, and future interactions with renewable generation.",https://www.bundesnetzagentur.de/DE/Allgemeines/Presse/Pressemitteilungen/start.html
2026-06-12,Bundesnetzagentur,regulator,Germany,Consultation begins on the electricity grid development plan,"The process is strategically relevant to grid expansion, connection timing, curtailment risk, and renewable project feasibility.",https://www.bundesnetzagentur.de/DE/Allgemeines/Presse/Pressemitteilungen/start.html
2026-03-31,Bundesnetzagentur,regulator,Germany,German onshore wind tender is oversubscribed,"Tender oversubscription is a market signal on competition, project readiness, expected returns, and future auction dynamics.",https://www.bundesnetzagentur.de/SharedDocs/Pressemitteilungen/DE/2026/20260331_EE_AusschreibungWind.html
2026-01-05,Bundesnetzagentur,regulator,Germany,Bundesnetzagentur publishes Germany's 2025 electricity market data,"The SMARD-based annual data provides an external benchmark for generation, consumption, imports, exports, and wholesale prices.",https://www.bundesnetzagentur.de/SharedDocs/Pressemitteilungen/EN/2026/20260104_SMARD.html
